02 32 39 46 69 06,2
11 18 39 58 62 03,2
01 15 26 63 65 16,2
21 28 32 44 49 06,3
10 43 55 59 67 02,3
07 21 39 47 55 19,2
02 36 37 45 69 03,2
16 25 27 49 55 17,3
05 15 38 47 65 10,3
10 15 51 61 69 14,3
11 29 30 47 53 16,3
09 24 35 46 65 22,2
14 17 18 21 27 09,2
02 13 32 33 48 22,2
36 38 45 62 64 19,2
02 13 23 34 66 02,4
10 30 37 53 59 04,2
03 21 38 50 59 06,3
18 26 28 38 47 17,2
07 20 29 38 67 22,2
05 31 34 51 53 23,2
21 46 47 57 62 08,3
09 25 34 44 45 08,3
10 27 29 44 58 24,2
30 32 48 53 63 12,2
11 20 33 39 65 24,3
12 22 54 66 69 15,2
21 22 39 44 60 12,2
37 51 54 58 60 19,2
37 40 50 61 63 21,3
11 20 22 33 54 24,2
03 15 45 51 61 08,2
17 36 47 60 61 15,3
